timestamp,label_text,name,count,filtros_ML,url
2025-09-10T10:37:44.534365,SUV,Autos Usados,6441,,https://autos.mercadolibre.cl/suv/#applied_filter_id%3DVEHICLE_BODY_TYPE%26applied_filter_name%3DTipo+de+carrocer%C3%ADa%26applied_filter_order%3D13%26applied_value_id%3D452759%26applied_value_name%3DSUV%26applied_value_order%3D14%26applied_value_results%3D6441%26is_custom%3Dfalse
2025-09-10T10:37:44.534495,Hatchback,Autos Usados,2483,,https://autos.mercadolibre.cl/hatchback/#applied_filter_id%3DVEHICLE_BODY_TYPE%26applied_filter_name%3DTipo+de+carrocer%C3%ADa%26applied_filter_order%3D13%26applied_value_id%3D479344%26applied_value_name%3DHatchback%26applied_value_order%3D5%26applied_value_results%3D2483%26is_custom%3Dfalse
2025-09-10T10:37:44.534690,Sedán,Autos Usados,2007,,https://autos.mercadolibre.cl/sedan/#applied_filter_id%3DVEHICLE_BODY_TYPE%26applied_filter_name%3DTipo+de+carrocer%C3%ADa%26applied_filter_order%3D13%26applied_value_id%3D452758%26applied_value_name%3DSed%C3%A1n%26applied_value_order%3D13%26applied_value_results%3D2007%26is_custom%3Dfalse
2025-09-10T10:37:44.534840,Pick-Up,Autos Usados,1580,,https://autos.mercadolibre.cl/pick-up/#applied_filter_id%3DVEHICLE_BODY_TYPE%26applied_filter_name%3DTipo+de+carrocer%C3%ADa%26applied_filter_order%3D13%26applied_value_id%3D452756%26applied_value_name%3DPick-Up%26applied_value_order%3D10%26applied_value_results%3D1580%26is_custom%3Dfalse
2025-09-10T10:37:44.534971,Van,Autos Usados,594,,https://autos.mercadolibre.cl/van/#applied_filter_id%3DVEHICLE_BODY_TYPE%26applied_filter_name%3DTipo+de+carrocer%C3%ADa%26applied_filter_order%3D13%26applied_value_id%3D452755%26applied_value_name%3DVan%26applied_value_order%3D15%26applied_value_results%3D594%26is_custom%3Dfalse
2025-09-10T10:37:44.535100,Furgón,Autos Usados,431,,https://autos.mercadolibre.cl/furgon/#applied_filter_id%3DVEHICLE_BODY_TYPE%26applied_filter_name%3DTipo+de+carrocer%C3%ADa%26applied_filter_order%3D13%26applied_value_id%3D452750%26applied_value_name%3DFurg%C3%B3n%26applied_value_order%3D4%26applied_value_results%3D431%26is_custom%3Dfalse
2025-09-10T10:37:44.535230,Light Truck,Autos Usados,134,,https://autos.mercadolibre.cl/light-truck/#applied_filter_id%3DVEHICLE_BODY_TYPE%26applied_filter_name%3DTipo+de+carrocer%C3%ADa%26applied_filter_order%3D13%26applied_value_id%3D452751%26applied_value_name%3DLight+Truck%26applied_value_order%3D6%26applied_value_results%3D134%26is_custom%3Dfalse
2025-09-10T10:37:44.535360,Coupé,Autos Usados,114,,https://autos.mercadolibre.cl/coupe/#applied_filter_id%3DVEHICLE_BODY_TYPE%26applied_filter_name%3DTipo+de+carrocer%C3%ADa%26applied_filter_order%3D13%26applied_value_id%3D452749%26applied_value_name%3DCoup%C3%A9%26applied_value_order%3D2%26applied_value_results%3D114%26is_custom%3Dfalse
2025-09-10T10:37:44.535490,Cabriolet,Autos Usados,48,,https://autos.mercadolibre.cl/cabriolet/#applied_filter_id%3DVEHICLE_BODY_TYPE%26applied_filter_name%3DTipo+de+carrocer%C3%ADa%26applied_filter_order%3D13%26applied_value_id%3D452748%26applied_value_name%3DCabriolet%26applied_value_order%3D1%26applied_value_results%3D48%26is_custom%3Dfalse
2025-09-10T10:37:44.535689,Delantera,Otros,10126,,https://autos.mercadolibre.cl/delantera/#applied_filter_id%3DTRACTION_CONTROL%26applied_filter_name%3DControl+de+tracci%C3%B3n%26applied_filter_order%3D14%26applied_value_id%3D493979%26applied_value_name%3DDelantera%26applied_value_order%3D5%26applied_value_results%3D10126%26is_custom%3Dfalse
